instrument,industry
SH601966,801880.SI
SH603002,801080.SI
SH603003,801750.SI
SH603004,801030.SI
SH603010,801030.SI
SH603020,801120.SI
SH603026,801730.SI
SH603033,801030.SI
SH603041,801030.SI
SH603051,801030.SI
SH603055,801130.SI
SH603062,801030.SI
SH603065,801030.SI
SH603067,801030.SI
SH603073,801030.SI
SH603077,801030.SI
SH603078,801080.SI
SH603079,801150.SI
SH603086,801030.SI
SH603110,801030.SI
SH603113,801950.SI
SH603120,801030.SI
SH603125,801030.SI
SH603133,801080.SI
SH603150,801030.SI
SH603155,801030.SI
SH603172,801030.SI
SH603181,801030.SI
SH603188,801030.SI
SH603192,801030.SI
SH603213,801030.SI
SH603217,801030.SI
SH603225,801030.SI
SH603227,801030.SI
SH603235,801030.SI
SH603255,801030.SI
SH603256,801710.SI
SH603260,801050.SI
SH603266,801880.SI
SH603276,801030.SI
SH603281,801030.SI
SH603285,801030.SI
SH603299,801030.SI
SH603310,801030.SI
SH603330,801030.SI
SH603332,801030.SI
SH603353,801960.SI
SH603360,801030.SI
SH603378,801710.SI
SH603379,801030.SI
SH603382,801030.SI
SH603395,801030.SI
SH603505,801030.SI
SH603580,801030.SI
SH603585,801030.SI
SH603599,801030.SI
SH603601,801710.SI
SH603605,801980.SI
SH603612,801050.SI
SH603615,801140.SI
SH603630,801980.SI
SH603639,801030.SI
SH603650,801030.SI
SH603663,801050.SI
SH603681,801030.SI
SH603683,801030.SI
SH603688,801050.SI
SH603722,801030.SI
SH603725,801710.SI
SH603737,801710.SI
SH603790,801030.SI
SH603798,801960.SI
SH603810,801030.SI
SH603822,801030.SI
SH603823,801030.SI
SH603826,801050.SI
SH603867,801030.SI
SH603879,801030.SI
SH603906,801730.SI
SH603916,801030.SI
SH603928,801030.SI
SH603938,801030.SI
SH603948,801030.SI
SH603949,801880.SI
SH603968,801030.SI
SH603970,801030.SI
SH603977,801200.SI
SH603980,801030.SI
SH603983,801980.SI
SH603991,801030.SI
SH605006,801710.SI
SH605008,801030.SI
SH605020,801030.SI
SH605033,801030.SI
SH605077,801120.SI
SH605086,801030.SI
SH605155,801140.SI
SH605166,801030.SI
SH605183,801030.SI
SH605366,801030.SI
SH605399,801030.SI
SH605488,801030.SI
SH605566,801030.SI
SH605589,801030.SI
SH688065,801030.SI
SH688087,801030.SI
SH688089,801030.SI
SH688129,801030.SI
SH688133,801030.SI
SH688157,801030.SI
SH688179,801030.SI
SH688196,801030.SI
SH688199,801030.SI
SH688203,801030.SI
SH688219,801030.SI
SH688267,801030.SI
SH688269,801030.SI
SH688295,801030.SI
SH688300,801030.SI
SH688323,801030.SI
SH688350,801030.SI
SH688357,801030.SI
SH688386,801030.SI
SH688398,801030.SI
SH688571,801030.SI
SH688585,801030.SI
SH688602,801150.SI
SH688625,801030.SI
SH688639,801030.SI
SH688659,801030.SI
SH688669,801030.SI
SH688716,801030.SI
SH688718,801030.SI
SH688722,801030.SI
SZ000039,801890.SI
SZ000055,801720.SI
SZ000535,801040.SI
SZ000569,801040.SI
SZ000629,801040.SI
SZ000655,801040.SI
SZ000656,801180.SI
SZ000708,801040.SI
SZ000709,801040.SI
SZ000717,801040.SI
SZ000761,801040.SI
SZ000778,801040.SI
SZ000825,801040.SI
SZ000890,801970.SI
SZ000898,801040.SI
SZ000906,801230.SI
SZ000923,801890.SI
SZ000926,801180.SI
SZ000932,801040.SI
SZ000959,801040.SI
SZ000961,801180.SI
SZ001203,801040.SI
SZ002075,801050.SI
SZ002110,801040.SI
SZ002132,801890.SI
SZ002318,801040.SI
SZ002443,801040.SI
SZ002478,801040.SI
SZ002756,801050.SI
SZ300881,801040.SI
SZ301160,801040.SI
SH600001,801040.SI
SH600005,801040.SI
SH600010,801040.SI
SH600019,801040.SI
SH600022,801040.SI
SH600102,801040.SI
SH600114,801890.SI
SH600117,801040.SI
SH600126,801040.SI
SH600231,801040.SI
SH600282,801040.SI
SH600295,801130.SI
SH600307,801040.SI
SH600357,801040.SI
SH600382,801890.SI
SH600399,801040.SI
SH600507,801040.SI
SH600516,801050.SI
SH600558,801890.SI
SH600569,801040.SI
SH600581,801040.SI
SH600608,801230.SI
SH600673,801230.SI
SH600674,801160.SI
SH600782,801040.SI
SH600784,801230.SI
SH600808,801040.SI
SH600894,801890.SI
SH600992,801890.SI
SH601003,801040.SI
SH601005,801040.SI
SH601121,801040.SI
SH601686,801040.SI
SH601969,801040.SI
SH603878,801040.SI
SH603995,801040.SI
SH605158,801710.SI
SH688186,801730.SI
SZ000007,801230.SI
SZ000008,801890.SI
SZ000060,801050.SI
SZ000426,801160.SI
SZ000506,801180.SI
SZ000511,801180.SI
SZ000519,801740.SI
SZ000602,801160.SI
SZ000603,801150.SI
SZ000612,801050.SI
SZ000630,801050.SI
SZ000633,801890.SI
SZ000657,801050.SI
SZ000688,801050.SI
SZ000693,801050.SI
SZ000697,801740.SI
SZ000751,801050.SI
SZ000758,801050.SI
SZ000762,801050.SI
SZ000795,801050.SI
SZ000807,801050.SI
SZ000813,801230.SI
SZ000831,801050.SI
SZ000878,801050.SI
SZ000908,801890.SI
SZ000928,801720.SI
SZ000933,801230.SI
SZ000960,801050.SI
SZ000962,801050.SI
SZ000969,801050.SI
SZ000970,801080.SI
SZ000975,801230.SI
SZ001337,801050.SI
SZ002056,801730.SI
SZ002057,801210.SI
SZ002070,801130.SI
SZ002082,801710.SI
SZ002114,801050.SI
SZ002149,801050.SI
SZ002155,801050.SI
SZ002160,801050.SI
SZ002171,801050.SI
SZ002176,801730.SI
SZ002182,801050.SI
SZ002203,801050.SI
SZ002237,801050.SI
SZ002240,801140.SI
SZ002295,801050.SI
SZ002297,801740.SI
SZ002340,801730.SI
SZ002378,801050.SI
SZ002379,801050.SI
SZ002428,801050.SI
SZ002460,801050.SI
SZ002466,801050.SI
SZ002501,801050.SI
SZ002502,801760.SI
SZ002532,801890.SI
SZ002540,801050.SI
SZ002578,801050.SI
SZ002600,801080.SI
SZ002716,801050.SI
SZ002738,801050.SI
SZ002806,801880.SI
SZ002824,801050.SI
SZ002842,801050.SI
SZ002978,801050.SI
SZ002988,801050.SI
SZ002996,801050.SI
SZ003038,801050.SI
SZ300057,801140.SI
SZ300127,801050.SI
SZ300139,801160.SI
SZ300224,801050.SI
SZ300328,801080.SI
SZ300337,801050.SI
SZ300390,801730.SI
SZ300395,801740.SI
SZ300428,801880.SI
SZ300489,801890.SI
SZ300618,801050.SI
SZ300666,801080.SI
SZ300697,801050.SI
SZ300706,801080.SI
SZ300748,801050.SI
SZ300811,801050.SI
SZ300828,801890.SI
SZ300835,801050.SI
SZ300855,801050.SI
SZ300930,801050.SI
SZ300963,801050.SI
SZ300986,801720.SI
SZ301026,801050.SI
SZ301141,801050.SI
SZ301150,801730.SI
SZ301217,801730.SI
SZ301219,801050.SI
SZ301323,801050.SI
SZ301500,801970.SI
SZ301522,801050.SI
SZ301622,801050.SI
SH600092,801050.SI
SH600110,801730.SI
SH600111,801050.SI
SH600139,801230.SI
SH600205,801050.SI
SH600206,801080.SI
SH600219,801130.SI
SH600255,801050.SI
SH600296,801050.SI
SH600330,801890.SI
SH600338,801050.SI
SH600361,801200.SI
SH600362,801050.SI
SH600366,801080.SI
SH600385,801150.SI
SH600390,801790.SI
SH600432,801050.SI
SH600456,801050.SI
SH600459,801050.SI
SH600472,801050.SI
SH600478,801730.SI
SH600489,801050.SI
SH600497,801050.SI
SH600531,801050.SI
SH600547,801050.SI
SH600549,801050.SI
SH600576,801760.SI
SH600595,801050.SI
SH600687,801180.SI
SH600711,801110.SI
SH600743,801180.SI
SH600766,801230.SI
SH600768,801050.SI
SH600807,801200.SI
SH600888,801050.SI
SH600961,801050.SI
SH600980,801890.SI
SH600988,801050.SI
SH601020,801050.SI
SH601028,801890.SI
SH601069,801050.SI
SH601137,801050.SI
SH601168,801050.SI
SH601212,801050.SI
SH601388,801050.SI
SH601600,801050.SI
SH601609,801050.SI
SH601677,801050.SI
SH601702,801050.SI
SH601899,801050.SI
SH601958,801050.SI
SH603045,801050.SI
SH603072,801050.SI
SH603115,801050.SI
SH603124,801050.SI
SH603132,801050.SI
SH603271,801050.SI
SH603399,801050.SI
SH603527,801050.SI
SH603799,801050.SI
SH603876,801050.SI
SH603937,801710.SI
SH603978,801050.SI
SH603979,801720.SI
SH603993,801050.SI
SH605208,801050.SI
SH605376,801050.SI
SH688077,801050.SI
SH688102,801050.SI
SH688190,801050.SI
SH688231,801050.SI
SH688456,801050.SI
SH688750,801050.SI
SH688786,801050.SI
SZ000020,801080.SI
SZ000021,801750.SI
SZ000038,801760.SI
SZ000045,801130.SI
SZ000050,801080.SI
SZ000058,801200.SI
SZ000062,801200.SI
SZ000068,801970.SI
SZ000070,801770.SI
SZ000100,801110.SI
SZ000413,801080.SI
SZ000509,801710.SI
SZ000532,801790.SI
SZ000536,801080.SI
SZ000541,801110.SI
